cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
1,3.4337602739726028,0.04124214529931656,3.1812629679847735,1.9027070020947636,0.22099999999999997,1452.165,8.079035030817092e-05,0.7816411687211282,0.16661111111111113,0.1556406641590471,2.6900631393160612,1.8542787905771227,0.03500000000000003,943.5320000000002,-0.00040588514919713764,0.6329770162809045,0.9381818181818181,3544
2,3.4337602739726028,0.04124214529931656,3.1812629679847735,1.9027070020947636,0.22099999999999997,1452.1649999999972,8.079035030817203e-05,0.7816411687211282,0.16661111111111113,0.1556406641590471,2.6900631393160612,1.8542787905771227,0.03500000000000003,943.5319999999992,-0.0004058851491971392,0.6329770162809045,0.9381818181818181,3543
3,3.4375098039215684,0.045988536044170025,2.211402052526889,1.6972610631412428,0.15399999999999991,1009.051999999996,0.00013202729618286047,0.7858956005966944,0.14228571428571427,0.1338296440493422,6.827188792741708,2.4728705675359945,0.026000000000000023,740.0499999999884,-0.0004302792292596173,0.5891119202578529,0.9409090909090908,3542
4,3.4375098039215684,0.045988536044170025,2.211402052526889,1.6972610631412428,0.15399999999999991,1009.051999999996,0.00013202729618286345,0.7858956005966944,0.14228571428571427,0.1338296440493422,6.827188792741708,2.4728705675359945,0.026000000000000023,740.0500000000029,-0.0004302792292596211,0.5891119202578529,0.9409090909090908,3541
5,3.445125,0.06062163098149994,3.5539241975623828,1.8956341352730244,0.1279999999999999,840.1410000000033,0.00017506971415107918,0.4872555053727843,0.17266666666666666,0.19023634423176522,4.71931717808138,2.1391401554592884,0.020999999999999908,589.5480000000098,-0.0006996479478843235,0.45801353078493934,0.9381818181818181,3540
6,3.4450000000000003,0.06089334939055339,3.6694880208028584,1.9195775316445634,0.1279999999999999,840.1689999999944,0.00017516324898060218,0.4872555053727843,0.17166666666666666,0.1905567282114874,4.755815762863226,2.1483656951911603,0.020000000000000018,579.9339999999938,-0.0007098600512955157,0.45801353078493934,0.9381818181818181,3539
7,3.44475,0.061000585477284035,3.674556383748957,1.9208738803173813,0.1279999999999999,840.169000000009,0.00017555999491016585,0.5315514604066738,0.1713333333333333,0.1906668997667573,4.768342481501787,2.1509018236615396,0.020000000000000018,573.7880000000005,-0.00071705507831654,0.45801353078493934,0.9381818181818181,3538
8,3.4442500000000003,0.060324716564368774,3.673081676376711,1.920710751361477,0.1279999999999999,840.1689999999944,0.00017357616072442587,0.5315514604066738,0.1708333333333333,0.19078513219500798,4.794573610250817,2.1577828021716474,0.020000000000000018,573.3169999999955,-0.0007163905206966677,0.45801353078493934,0.9381818181818181,3537
9,3.444,0.06030636071640485,3.738346648948184,1.9331257445108105,0.1279999999999999,840.1689999999944,0.00017317933280552799,0.5315514604066738,0.1703333333333333,0.19099179738058564,4.803984779741571,2.159884794118467,0.020000000000000018,561.2779999999912,-0.0007308111473632692,0.39895225740642,0.9381818181818181,3536
10,3.444,0.06030636071640485,3.738346648948184,1.9331257445108105,0.1279999999999999,840.1689999999944,0.0001731794154441838,0.5315514604066738,0.16999999999999996,0.1911502027202692,4.804567418120172,2.160818755872833,0.020000000000000018,565.9809999999998,-0.0007253353111886931,0.39895225740642,0.9381818181818181,3535
