dataset,window,feature,target,n,pearson,spearman,abs_pearson,abs_spearman
CALB,300s,relax_kur,RUL,1379,-0.07977022484219504,-0.05592048902258906,0.07977022484219504,0.05592048902258906
CALB,300s,relax_max,RUL,1379,-0.5985429712558166,-0.2546863416339825,0.5985429712558166,0.2546863416339825
CALB,300s,relax_mean,RUL,1379,-0.607011923167833,-0.2928226076789851,0.607011923167833,0.2928226076789851
CALB,300s,relax_min,RUL,1379,-0.6217079854070782,-0.35252518464389115,0.6217079854070782,0.35252518464389115
CALB,300s,relax_ske,RUL,1379,-0.17236106236698526,-0.1706072306832815,0.17236106236698526,0.1706072306832815
CALB,300s,relax_var,RUL,1379,-0.33756795628217034,0.09171067764993415,0.33756795628217034,0.09171067764993415
CALB,300s,relax_kur,SOH,1379,-0.017071841844467067,-0.017644095092711403,0.017071841844467067,0.017644095092711403
CALB,300s,relax_max,SOH,1379,0.7211279506983429,0.287919497050469,0.7211279506983429,0.287919497050469
CALB,300s,relax_mean,SOH,1379,0.7215650008672904,0.2987095943978808,0.7215650008672904,0.2987095943978808
CALB,300s,relax_min,SOH,1379,0.7267786025781443,0.32586477261858343,0.7267786025781443,0.32586477261858343
CALB,300s,relax_ske,SOH,1379,0.09309330918596717,0.09944841294105575,0.09309330918596717,0.09944841294105575
CALB,300s,relax_var,SOH,1379,0.6014593109993386,0.17699784576821878,0.6014593109993386,0.17699784576821878
CALB,300s,relax_kur,discharge_capacity_in_Ah,1379,-0.017071841844467597,-0.017644095092711403,0.017071841844467597,0.017644095092711403
CALB,300s,relax_max,discharge_capacity_in_Ah,1379,0.7211279506983428,0.287919497050469,0.7211279506983428,0.287919497050469
CALB,300s,relax_mean,discharge_capacity_in_Ah,1379,0.7215650008672905,0.2987095943978808,0.7215650008672905,0.2987095943978808
CALB,300s,relax_min,discharge_capacity_in_Ah,1379,0.7267786025781443,0.32586477261858343,0.7267786025781443,0.32586477261858343
CALB,300s,relax_ske,discharge_capacity_in_Ah,1379,0.09309330918596634,0.09944841294105575,0.09309330918596634,0.09944841294105575
CALB,300s,relax_var,discharge_capacity_in_Ah,1379,0.601459310999339,0.17699784576821878,0.601459310999339,0.17699784576821878
ISU_ILCC,1800s,relax_kur,RUL,12163,0.030061384423277382,0.07256735407944069,0.030061384423277382,0.07256735407944069
