cycle_number,voltage_mean,voltage_std,voltage_kurtosis,voltage_skewness,CC_Q,CC_charge_time,voltage_slope,voltage_entropy,current_mean,current_std,current_kurtosis,current_skewness,CV_Q,CV_charge_time,current_slope,current_entropy,SOH,RUL
2,4.09528250425532,0.056947298066476706,-1.116848094069334,0.13826467107317927,0.6698835092999946,1377.640065434407,0.00013842820775413267,0.9766435349955811,1.3337057950798068,0.279183740737745,-1.0772526201442005,0.5840593137018305,0.2083895010604513,600.0000284984744,-0.0012226603914623287,0.45801353078493934,0.9297681930308326,151
3,4.09361965319149,0.057335649475093696,-1.1228004500122601,0.12839696700557157,0.66971883495653,1377.2960692660636,0.00013942359372101922,0.9766435349955811,1.3946920404796794,0.29857934219680016,-1.9577424603490776,0.14719857047307663,0.20880106583719904,600.1660301832089,-0.001257259184839114,0.4467939209563683,0.9297084233884004,150
4,4.095492753191491,0.05781663913322207,-1.1369377473187654,0.12127314541247591,0.6688414772376172,1375.4720691745024,0.00014079454222502263,0.9841832720226262,1.3373969301413198,0.2772064949812622,-1.0921195490418119,0.5794035017365026,0.20912613494177945,600.000030174866,-0.0012141990055724095,0.45801353078493934,0.9292492118955779,149
5,4.095852134042554,0.05829391310941808,-1.1433376529410642,0.11914822494318532,0.6699718542196331,1377.860069294693,0.00014175715957537522,0.9841832720226262,1.3384333286580177,0.2763383855573747,-1.086447669616982,0.5811789812775636,0.2093322512464062,600.0000301748078,-0.001210327163162032,0.45801353078493934,0.928608498751783,148
6,4.097045889130435,0.057435438137555715,-1.151179140822563,0.11590824293087132,0.6548601568801526,1346.7380677293986,0.00014277446700406912,0.9786858081296161,1.3400273052782616,0.2757522417364605,-1.0996799643155595,0.5770388966960184,0.20964756858354328,600.0000301748951,-0.0012079326954677425,0.45801353078493934,0.9277216330988811,147
7,4.0937360934782605,0.057458762595278906,-1.1517968727251189,0.11065963722825246,0.6552885313325332,1347.560140561356,0.0001427922934473772,0.9786858081296161,1.3993218002086583,0.29521512626448093,-1.9611807164195092,0.14310935575802577,0.21160767390947077,603.740062975281,-0.0012401645195669767,0.4467939209563683,0.9270849866111337,146
8,4.0940381978260865,0.05766296962561168,-1.1575544988425794,0.10798872468565239,0.6551418331071643,1347.2201405257947,0.00014330123355771004,0.9786858081296161,1.4001828411305701,0.29468795886684424,-1.9633526871294393,0.14167233676602892,0.21039955765920038,600.8500626739115,-0.0012405558538756965,0.4467939209563683,0.9262550006317813,145
9,4.095155180434782,0.057882383295686034,-1.1665182965941996,0.10455091573360135,0.6546275574150922,1346.1581404151075,0.0001439657699649464,0.9786858081296161,1.3429910733774832,0.2745615923834838,-1.1258334481606405,0.5692966706827502,0.21023995794063888,600.0000625849061,-0.0012030135561780094,0.45801353078493934,0.9254281947935652,144
10,4.096528039130434,0.05813961713207445,-1.1741695456344452,0.10220830124829748,0.6542404469298633,1345.4221403384,0.00014466307854978702,0.9786858081296161,1.3428816645526371,0.2739779759004273,-1.1079705581000359,0.5734226932455276,0.2102235723462269,600.0000625849061,-0.001200366945460151,0.45801353078493934,0.924750207007068,143
11,4.097051002173913,0.05836774667088928,-1.1758826752150415,0.10113973926373263,0.6549119331582298,1346.7841404807114,0.00014509671008907797,0.9786858081296161,1.3433306698878826,0.27384891983257903,-1.1137643619474726,0.5712302586541187,0.2103139640195386,600.000062584877,-0.0011999091600458165,0.45801353078493934,0.9238211670942623,142
